,,,,,,,,,
REF_STATE_NAME,REF_COUNTY_NAME,REF_COMMUN_NAME,PRODUCT_EFFECTIVE_DATE,,,,,,
,,"DEATSVILLE, TOWN OF Total",,,,,,,
,,"ECLECTIC, TOWN OF",7/18/11,,,,,,
,,"ECLECTIC, TOWN OF Total",,,,,,,
,,ELMORE COUNTY ALL JURISDICTIONS,9/3/14,,,,,,
,,ELMORE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,ELMORE COUNTY UNINCORPORATED AREAS,9/3/14,,,,,,
,,ELMORE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"ELMORE, TOWN OF",9/3/14,,,,,,
,,"ELMORE, TOWN OF Total",,,,,,,
,,"TALLASSEE, CITY OF",7/18/11,,,,,,
,,"TALLASSEE, CITY OF Total",,,,,,,
,,"WETUMPKA, CITY OF",9/3/14,,,,,,
,,"WETUMPKA, CITY OF Total",,,,,,,
,ELMORE COUNTY Total,,,,,,,,
,ESCAMBIA COUNTY,"ATMORE, CITY OF",6/5/12,,,,,,
,,"ATMORE, CITY OF Total",,,,,,,
,,"BREWTON, CITY OF",6/5/12,,,,,,
,,"BREWTON, CITY OF Total",,,,,,,
,,"EAST BREWTON, CITY OF",6/5/12,,,,,,
,,"EAST BREWTON, CITY OF Total",,,,,,,
,,ESCAMBIA COUNTY ALL JURISDICTIONS,6/5/12,,,,,,
,,ESCAMBIA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,ESCAMBIA COUNTY UNINCORPORATED AREAS,6/5/12,,,,,,
,,ESCAMBIA COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"FLOMATON, TOWN OF",6/5/12,,,,,,
,,"FLOMATON, TOWN OF Total",,,,,,,
,,"POLLARD, TOWN OF",6/5/12,,,,,,
,,"POLLARD, TOWN OF Total",,,,,,,
,,"RIVERVIEW, TOWN OF",6/5/12,,,,,,
,,"RIVERVIEW, TOWN OF Total",,,,,,,
,ESCAMBIA COUNTY Total,,,,,,,,
,ETOWAH COUNTY,"ATTALLA, CITY OF",3/16/16,,,,,,
,,"ATTALLA, CITY OF Total",,,,,,,
,,"BOAZ, CITY OF",3/16/16,,,,,,
,,"BOAZ, CITY OF Total",,,,,,,
,,ETOWAH COUNTY ALL JURISDICTIONS,3/16/16,,,,,,
,,ETOWAH COUNTY ALL JURISDICTIONS Total,,,,,,,
,,ETOWAH COUNTY UNINCORPORATED AREAS,3/16/16,,,,,,
,,ETOWAH COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GADSDEN, CITY OF",3/16/16,,,,,,
,,"GADSDEN, CITY OF Total",,,,,,,
,,"GLENCOE, CITY OF",3/16/16,,,,,,
,,"GLENCOE, CITY OF Total",,,,,,,
,,"HOKES BLUFF, CITY OF",3/16/16,,,,,,
,,"HOKES BLUFF, CITY OF Total",,,,,,,
,,"RAINBOW CITY, CITY OF",3/16/16,,,,,,
,,"RAINBOW CITY, CITY OF Total",,,,,,,
,,"REECE CITY, TOWN OF",3/16/16,,,,,,
,,"REECE CITY, TOWN OF Total",,,,,,,
,,"RIDGEVILLE, TOWN OF",3/16/16,,,,,,
,,"RIDGEVILLE, TOWN OF Total",,,,,,,
,,"SARDIS CITY, TOWN  OF",3/16/16,,,,,,
,,"SARDIS CITY, TOWN  OF Total",,,,,,,
,,"SOUTHSIDE, CITY OF",3/16/16,,,,,,
,,"SOUTHSIDE, CITY OF Total",,,,,,,
,,"WALNUT GROVE, TOWN OF",9/26/08,,,,,,
,,"WALNUT GROVE, TOWN OF Total",,,,,,,
,ETOWAH COUNTY Total,,,,,,,,
,FAYETTE COUNTY,"BELK, TOWN OF",6/4/10,,,,,,
,,"BELK, TOWN OF Total",,,,,,,
,,"BERRY, TOWN OF",6/4/10,,,,,,
,,"BERRY, TOWN OF Total",,,,,,,
,,FAYETTE COUNTY ALL JURISDICTIONS,6/4/10,,,,,,
,,FAYETTE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,FAYETTE COUNTY UNINCORPORATED AREAS,6/4/10,,,,,,
,,FAYETTE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"FAYETTE, CITY OF",6/4/10,,,,,,
,,"FAYETTE, CITY OF Total",,,,,,,
,,"GLEN ALLEN, TOWN OF",6/4/10,,,,,,
,,"GLEN ALLEN, TOWN OF Total",,,,,,,
,FAYETTE COUNTY Total,,,,,,,,
,FRANKLIN COUNTY,FRANKLIN COUNTY ALL JURISDICTIONS,9/29/10,,,,,,
,,FRANKLIN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,FRANKLIN COUNTY UNINCORPORATED AREAS,9/29/10,,,,,,
,,FRANKLIN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"HODGES, TOWN OF",9/29/10,,,,,,
,,"HODGES, TOWN OF Total",,,,,,,
,,"PHIL CAMPBELL, TOWN OF",9/29/10,,,,,,
,,"PHIL CAMPBELL, TOWN OF Total",,,,,,,
,,"RED BAY, CITY OF",9/29/10,,,,,,
,,"RED BAY, CITY OF Total",,,,,,,
,,"RUSSELLVILLE, CITY OF",9/29/10,,,,,,
,,"RUSSELLVILLE, CITY OF Total",,,,,,,
,,"VINA, TOWN OF",9/29/10,,,,,,
,,"VINA, TOWN OF Total",,,,,,,
,FRANKLIN COUNTY Total,,,,,,,,
,GENEVA COUNTY,"BLACK, TOWN OF",2/20/08,,,,,,
,,"BLACK, TOWN OF Total",,,,,,,
,,"COFFEE SPRINGS,  TOWN OF",5/2/16,,,,,,
,,"COFFEE SPRINGS,  TOWN OF Total",,,,,,,
,,GENEVA COUNTY ALL JURISDICTIONS,5/2/16,,,,,,
,,GENEVA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,GENEVA COUNTY UNINCORPORATED AREAS,5/2/16,,,,,,
,,GENEVA COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"GENEVA, CITY OF",5/2/16,,,,,,
,,"GENEVA, CITY OF Total",,,,,,,
,,"HARTFORD, CITY OF",5/2/16,,,,,,
,,"HARTFORD, CITY OF Total",,,,,,,
,,"MALVERN, TOWN OF",5/2/16,,,,,,
,,"MALVERN, TOWN OF Total",,,,,,,
,,"SAMSON, CITY OF",5/2/16,,,,,,
,,"SAMSON, CITY OF Total",,,,,,,
,,"SLOCOMB, CITY OF",5/2/16,,,,,,
,,"SLOCOMB, CITY OF Total",,,,,,,
,GENEVA COUNTY Total,,,,,,,,
,GREENE COUNTY,"BOLIGEE, CITY OF",8/5/10,,,,,,
,,"BOLIGEE, CITY OF Total",,,,,,,
,,"EUTAW, CITY OF",8/5/10,,,,,,
,,"EUTAW, CITY OF Total",,,,,,,
,,"FORKLAND, TOWN OF",8/5/10,,,,,,
,,"FORKLAND, TOWN OF Total",,,,,,,
,,GREENE COUNTY ALL JURISDICTIONS,8/5/10,,,,,,
,,GREENE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,GREENE COUNTY UNINCORPORATED AREAS,8/5/10,,,,,,
,,GREENE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"UNION, TOWN OF",8/5/10,,,,,,
,,"UNION, TOWN OF Total",,,,,,,
,GREENE COUNTY Total,,,,,,,,
,HALE COUNTY,"AKRON, TOWN OF",1/6/10,,,,,,
,,"AKRON, TOWN OF Total",,,,,,,
,,"GREENSBORO, CITY OF",1/6/10,,,,,,
,,"GREENSBORO, CITY OF Total",,,,,,,
,,HALE COUNTY ALL JURISDICTIONS,1/6/10,,,,,,
,,HALE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,HALE COUNTY UNINCORPORATED AREAS,1/6/10,,,,,,
,,HALE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MOUNDVILLE, TOWN OF",1/16/14,,,,,,
,,"MOUNDVILLE, TOWN OF Total",,,,,,,
,,"NEW BERN, TOWN OF",1/6/10,,,,,,
,,"NEW BERN, TOWN OF Total",,,,,,,
,HALE COUNTY Total,,,,,,,,
,HENRY COUNTY,"ABBEVILLE, CITY OF",9/28/07,,,,,,
,,"ABBEVILLE, CITY OF Total",,,,,,,
,,"HALEBURG, TOWN OF",9/28/07,,,,,,
,,"HALEBURG, TOWN OF Total",,,,,,,
,,"HEADLAND, CITY OF",9/28/07,,,,,,
,,"HEADLAND, CITY OF Total",,,,,,,
,,HENRY COUNTY ALL JURISDICTIONS,9/28/07,,,,,,
,,HENRY COUNTY ALL JURISDICTIONS Total,,,,,,,
,,HENRY COUNTY UNINCORPORATED AREAS,9/28/07,,,,,,
,,HENRY COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"NEWVILLE, TOWN OF",9/28/07,,,,,,
,,"NEWVILLE, TOWN OF Total",,,,,,,
,HENRY COUNTY Total,,,,,,,,
,HOUSTON COUNTY,"ASHFORD, CITY OF",9/3/14,,,,,,
,,"ASHFORD, CITY OF Total",,,,,,,
,,"AVON, TOWN OF",9/3/14,,,,,,
,,"AVON, TOWN OF Total",,,,,,,
,,"COLUMBIA, TOWN OF",9/3/14,,,,,,
,,"COLUMBIA, TOWN OF Total",,,,,,,
,,"COTTONWOOD, TOWN OF",9/3/14,,,,,,
,,"COTTONWOOD, TOWN OF Total",,,,,,,
,,"COWARTS, TOWN OF",9/3/14,,,,,,
,,"COWARTS, TOWN OF Total",,,,,,,
,,"GORDON, TOWN OF",9/3/14,,,,,,
,,"GORDON, TOWN OF Total",,,,,,,
,,HOUSTON COUNTY ALL JURISDICTIONS,5/2/16,,,,,,
,,HOUSTON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,HOUSTON COUNTY UNINCORPORATED AREAS,5/2/16,,,,,,
,,HOUSTON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"KINSEY, TOWN OF",9/3/14,,,,,,
,,"KINSEY, TOWN OF Total",,,,,,,
,,"MADRID, TOWN OF",9/3/14,,,,,,
,,"MADRID, TOWN OF Total",,,,,,,
,,"REHOBETH, TOWN OF",9/3/14,,,,,,
,,"REHOBETH, TOWN OF Total",,,,,,,
,,"TAYLOR, TOWN OF",9/3/14,,,,,,
,,"TAYLOR, TOWN OF Total",,,,,,,
,,"WEBB, TOWN OF",9/3/14,,,,,,
,,"WEBB, TOWN OF Total",,,,,,,
,HOUSTON COUNTY Total,,,,,,,,
,JACKSON COUNTY,"BRIDGEPORT, CITY OF",12/16/08,,,,,,
,,"BRIDGEPORT, CITY OF Total",,,,,,,
,,"DUTTON, TOWN OF",12/16/08,,,,,,
,,"DUTTON, TOWN OF Total",,,,,,,
,,"HOLLYWOOD, TOWN OF",12/16/08,,,,,,
,,"HOLLYWOOD, TOWN OF Total",,,,,,,
,,"HYTOP, TOWN OF ",12/16/08,,,,,,
,,"HYTOP, TOWN OF  Total",,,,,,,
,,JACKSON COUNTY ALL JURISDICTIONS,12/16/08,,,,,,
,,JACKSON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,JACKSON COUNTY UNINCORPORATED AREAS,12/16/08,,,,,,
,,JACKSON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LANGSTON, TOWN OF",12/16/08,,,,,,
,,"LANGSTON, TOWN OF Total",,,,,,,
,,"PAINT ROCK, TOWN OF",12/16/08,,,,,,
,,"PAINT ROCK, TOWN OF Total",,,,,,,
,,"PISGAH, TOWN OF",12/16/08,,,,,,
,,"PISGAH, TOWN OF Total",,,,,,,
,,"PLEASANT GROVES, TOWN OF",12/16/08,,,,,,
,,"PLEASANT GROVES, TOWN OF Total",,,,,,,
,,"SCOTTSBORO, CITY OF",12/16/08,,,,,,
,,"SCOTTSBORO, CITY OF Total",,,,,,,
,,"SECTION, TOWN OF",12/16/08,,,,,,
,,"SECTION, TOWN OF Total",,,,,,,
,,"SKYLINE, TOWN OF ",12/16/08,,,,,,
,,"SKYLINE, TOWN OF  Total",,,,,,,
,,"STEVENSON, CITY OF",12/16/08,,,,,,
,,"STEVENSON, CITY OF Total",,,,,,,
,,"WOODVILLE, TOWN OF",12/16/08,,,,,,
,,"WOODVILLE, TOWN OF Total",,,,,,,
,JACKSON COUNTY Total,,,,,,,,
,JEFFERSON COUNTY,"ADAMSVILLE, CITY OF",9/29/06,,,,,,
,,"ADAMSVILLE, CITY OF Total",,,,,,,
,,"ARGO, CITY OF",8/17/16,,,,,,
,,"ARGO, CITY OF Total",,,,,,,
,,"BESSEMER, CITY OF",9/3/10,,,,,,
,,"BESSEMER, CITY OF Total",,,,,,,
,,"BIRMINGHAM, CITY OF",2/20/13,,,,,,
,,"BIRMINGHAM, CITY OF Total",,,,,,,
,,"BRIGHTON, CITY OF",9/3/10,,,,,,
,,"BRIGHTON, CITY OF Total",,,,,,,
,,"BROOKSIDE, TOWN OF",9/29/06,,,,,,
,,"BROOKSIDE, TOWN OF Total",,,,,,,
,,"CARDIFF, TOWN OF",9/29/06,,,,,,
,,"CARDIFF, TOWN OF Total",,,,,,,
,,"CENTER POINT, CITY OF",9/3/10,,,,,,
,,"CENTER POINT, CITY OF Total",,,,,,,
,,"CLAY, CITY OF",9/3/10,,,,,,
,,"CLAY, CITY OF Total",,,,,,,
,,"FAIRFIELD, CITY OF",9/29/06,,,,,,
,,"FAIRFIELD, CITY OF Total",,,,,,,
,,"FULTONDALE, CITY OF",9/29/06,,,,,,
,,"FULTONDALE, CITY OF Total",,,,,,,
,,"GARDENDALE, CITY OF",9/29/06,,,,,,
,,"GARDENDALE, CITY OF Total",,,,,,,
,,"GRAYSVILLE, CITY OF",9/29/06,,,,,,
,,"GRAYSVILLE, CITY OF Total",,,,,,,
,,"HOMEWOOD, CITY OF",9/3/10,,,,,,
,,"HOMEWOOD, CITY OF Total",,,,,,,
,,"HOOVER, CITY OF",2/20/13,,,,,,
,,"HOOVER, CITY OF Total",,,,,,,
,,"HUEYTOWN, CITY OF",9/3/10,,,,,,
,,"HUEYTOWN, CITY OF Total",,,,,,,
,,"IRONDALE, CITY OF",9/29/06,,,,,,
,,"IRONDALE, CITY OF Total",,,,,,,
,,JEFFERSON COUNTY ALL JURISDICTIONS,9/3/10,,,,,,
,,JEFFERSON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,JEFFERSON COUNTY UNINCORPORATED AREAS,9/3/10,,,,,,
,,JEFFERSON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"KIMBERLY, CITY OF",9/29/06,,,,,,
,,"KIMBERLY, CITY OF Total",,,,,,,
,,"LAKE VIEW, TOWN OF",1/16/14,,,,,,
,,"LAKE VIEW, TOWN OF Total",,,,,,,
,,"LEEDS, CITY OF",2/20/13,,,,,,
,,"LEEDS, CITY OF Total",,,,,,,
,,"LIPSCOMB, CITY OF",9/3/10,,,,,,
,,"LIPSCOMB, CITY OF Total",,,,,,,
,,"MAYTOWN, TOWN OF",9/29/06,,,,,,
,,"MAYTOWN, TOWN OF Total",,,,,,,
,,"MIDFIELD, CITY OF",9/29/06,,,,,,
,,"MIDFIELD, CITY OF Total",,,,,,,
,,"MORRIS, TOWN OF",9/29/06,,,,,,
,,"MORRIS, TOWN OF Total",,,,,,,
,,"MOUNTAIN BROOK, CITY OF",9/3/10,,,,,,
,,"MOUNTAIN BROOK, CITY OF Total",,,,,,,
,,"MULGA, TOWN OF",9/29/06,,,,,,
,,"MULGA, TOWN OF Total",,,,,,,
,,"NORTH JOHNS, TOWN OF",9/29/06,,,,,,
,,"NORTH JOHNS, TOWN OF Total",,,,,,,
,,"PINSON, CITY OF",9/3/10,,,,,,
,,"PINSON, CITY OF Total",,,,,,,
,,"PLEASANT GROVE, CITY OF",9/29/06,,,,,,
,,"PLEASANT GROVE, CITY OF Total",,,,,,,
,,"SUMITON, CITY OF",10/2/14,,,,,,
,,"SUMITON, CITY OF Total",,,,,,,
,,"SYLVAN SPRINGS, TOWN OF",9/29/06,,,,,,
,,"SYLVAN SPRINGS, TOWN OF Total",,,,,,,
,,"TARRANT, CITY OF",9/29/06,,,,,,
,,"TARRANT, CITY OF Total",,,,,,,
,,"TRAFFORD, TOWN OF",9/29/06,,,,,,
,,"TRAFFORD, TOWN OF Total",,,,,,,
,,"TRUSSVILLE, CITY OF",8/17/16,,,,,,
,,"TRUSSVILLE, CITY OF Total",,,,,,,
,,"VESTAVIA HILLS, CITY OF",2/20/13,,,,,,
,,"VESTAVIA HILLS, CITY OF Total",,,,,,,
,,"WARRIOR, CITY OF",9/29/06,,,,,,
,,"WARRIOR, CITY OF Total",,,,,,,
,,"WEST JEFFERSON, TOWN OF",9/29/06,,,,,,
,,"WEST JEFFERSON, TOWN OF Total",,,,,,,
,JEFFERSON COUNTY Total,,,,,,,,
,LAMAR COUNTY,"BEAVERTON, TOWN OF",5/3/10,,,,,,
,,"BEAVERTON, TOWN OF Total",,,,,,,
,,"DETROIT,TOWN OF",5/3/10,,,,,,
,,"DETROIT,TOWN OF Total",,,,,,,
,,"KENNEDY, TOWN OF",5/3/10,,,,,,
,,"KENNEDY, TOWN OF Total",,,,,,,
,,LAMAR COUNTY ALL JURISDICTIONS,5/3/10,,,,,,
,,LAMAR COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LAMAR COUNTY UNINCORPORATED AREAS,5/3/10,,,,,,
,,LAMAR COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MILLPORT, TOWN OF",5/3/10,,,,,,
,,"MILLPORT, TOWN OF Total",,,,,,,
,,"SULLIGENT, TOWN OF",5/3/10,,,,,,
,,"SULLIGENT, TOWN OF Total",,,,,,,
,,"VERNON, CITY OF",5/3/10,,,,,,
,,"VERNON, CITY OF Total",,,,,,,
,LAMAR COUNTY Total,,,,,,,,
,LAUDERDALE COUNTY,"ANDERSON, TOWN OF",9/11/09,,,,,,
,,"ANDERSON, TOWN OF Total",,,,,,,
,,"FLORENCE, CITY OF",9/11/09,,,,,,
,,"FLORENCE, CITY OF Total",,,,,,,
,,"KILLEN, TOWN OF",9/11/09,,,,,,
,,"KILLEN, TOWN OF Total",,,,,,,
,,LAUDERDALE COUNTY ALL JURISDICTIONS,9/11/09,,,,,,
,,LAUDERDALE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LAUDERDALE COUNTY UNINCORPORATED AREAS,9/11/09,,,,,,
,,LAUDERDALE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LEXINGTON, TOWN OF",9/11/09,,,,,,
,,"LEXINGTON, TOWN OF Total",,,,,,,
,,"ROGERSVILLE, TOWN OF",9/11/09,,,,,,
,,"ROGERSVILLE, TOWN OF Total",,,,,,,
,,"SAINT FLORIAN, TOWN OF",9/11/09,,,,,,
,,"SAINT FLORIAN, TOWN OF Total",,,,,,,
,,"WATERLOO, TOWN OF",9/11/09,,,,,,
,,"WATERLOO, TOWN OF Total",,,,,,,
,LAUDERDALE COUNTY Total,,,,,,,,
,LAWRENCE COUNTY,"COURTLAND, TOWN OF",9/11/09,,,,,,
,,"COURTLAND, TOWN OF Total",,,,,,,
,,"HILLSBORO, TOWN OF",9/11/09,,,,,,
,,"HILLSBORO, TOWN OF Total",,,,,,,
,,LAWRENCE COUNTY ALL JURISDICTIONS,9/11/09,,,,,,
,,LAWRENCE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LAWRENCE COUNTY UNINCORPORATED AREAS,9/11/09,,,,,,
,,LAWRENCE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MOULTON, CITY OF",9/11/09,,,,,,
,,"MOULTON, CITY OF Total",,,,,,,
,,"NORTH COURTLAND, TOWN OF",9/11/09,,,,,,
,,"NORTH COURTLAND, TOWN OF Total",,,,,,,
,,"TOWN CREEK, TOWN OF",9/11/09,,,,,,
,,"TOWN CREEK, TOWN OF Total",,,,,,,
,LAWRENCE COUNTY Total,,,,,,,,
,LEE COUNTY,"AUBURN, CITY OF",11/2/11,,,,,,
,,"AUBURN, CITY OF Total",,,,,,,
,,LEE COUNTY ALL JURISDICTIONS,11/2/11,,,,,,
,,LEE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LEE COUNTY UNINCORPORATED AREAS,11/2/11,,,,,,
,,LEE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LOACHAPOKA, TOWN OF",11/2/11,,,,,,
,,"LOACHAPOKA, TOWN OF Total",,,,,,,
,,"OPELIKA, CITY OF",11/2/11,,,,,,
,,"OPELIKA, CITY OF Total",,,,,,,
,,"PHENIX CITY, CITY OF",1/8/14,,,,,,
,,"PHENIX CITY, CITY OF Total",,,,,,,
,,"SMITHS STATION, CITY OF",11/2/11,,,,,,
,,"SMITHS STATION, CITY OF Total",,,,,,,
,LEE COUNTY Total,,,,,,,,
,LIMESTONE COUNTY,"ARDMORE, TOWN OF",7/7/09,,,,,,
,,"ARDMORE, TOWN OF Total",,,,,,,
,,"ATHENS, CITY OF",10/2/14,,,,,,
,,"ATHENS, CITY OF Total",,,,,,,
,,"DECATUR, CITY OF",12/16/05,,,,,,
,,"DECATUR, CITY OF Total",,,,,,,
,,"ELKMONT, TOWN OF",7/7/09,,,,,,
,,"ELKMONT, TOWN OF Total",,,,,,,
,,"HUNTSVILLE, CITY OF",10/2/14,,,,,,
,,"HUNTSVILLE, CITY OF Total",,,,,,,
,,"LESTER, TOWN OF ",7/7/09,,,,,,
,,"LESTER, TOWN OF  Total",,,,,,,
,,LIMESTONE COUNTY ALL JURISDICTIONS,10/2/14,,,,,,
,,LIMESTONE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LIMESTONE COUNTY UNINCORPORATED AREAS,10/2/14,,,,,,
,,LIMESTONE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MADISON, CITY OF",10/2/14,,,,,,
,,"MADISON, CITY OF Total",,,,,,,
,,"MOORESVILLE, TOWN OF ",10/2/14,,,,,,
,,"MOORESVILLE, TOWN OF  Total",,,,,,,
,LIMESTONE COUNTY Total,,,,,,,,
,LOWNDES COUNTY,"BENTON, TOWN OF",9/3/14,,,,,,
,,"BENTON, TOWN OF Total",,,,,,,
,,"FORT DEPOSIT, TOWN OF",11/4/09,,,,,,
,,"FORT DEPOSIT, TOWN OF Total",,,,,,,
,,"GORDONVILLE, TOWN OF",11/4/09,,,,,,
,,"GORDONVILLE, TOWN OF Total",,,,,,,
,,"HAYNEVILLE, TOWN OF",11/4/09,,,,,,
,,"HAYNEVILLE, TOWN OF Total",,,,,,,
,,LOWNDES COUNTY ALL JURISDICTIONS,9/3/14,,,,,,
,,LOWNDES COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LOWNDES COUNTY UNINCORPORATED AREAS,9/3/14,,,,,,
,,LOWNDES COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LOWNDESBORO, TOWN OF",11/4/09,,,,,,
,,"LOWNDESBORO, TOWN OF Total",,,,,,,
,,"MOSSES, TOWN OF",11/4/09,,,,,,
,,"MOSSES, TOWN OF Total",,,,,,,
,,"WHITE HALL, TOWN OF",9/3/14,,,,,,
,,"WHITE HALL, TOWN OF Total",,,,,,,
,LOWNDES COUNTY Total,,,,,,,,
,MACON COUNTY,"FRANKLIN, TOWN OF",11/18/09,,,,,,
,,"FRANKLIN, TOWN OF Total",,,,,,,
,,MACON COUNTY ALL JURISDICTIONS,11/18/09,,,,,,
,,MACON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MACON COUNTY UNINCORPORATED AREAS,11/18/09,,,,,,
,,MACON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"NOTASULGA, TOWN OF",11/18/09,,,,,,
,,"NOTASULGA, TOWN OF Total",,,,,,,
,,"SHORTER, TOWN OF",11/18/09,,,,,,
,,"SHORTER, TOWN OF Total",,,,,,,
,,"TUSKEGEE, CITY OF",11/18/09,,,,,,
,,"TUSKEGEE, CITY OF Total",,,,,,,
,MACON COUNTY Total,,,,,,,,
,MADISON COUNTY,"GURLEY, TOWN OF",10/2/14,,,,,,
,,"GURLEY, TOWN OF Total",,,,,,,
,,MADISON COUNTY ALL JURISDICTIONS,10/2/14,,,,,,
,,MADISON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MADISON COUNTY UNINCORPORATED AREAS,10/2/14,,,,,,
,,MADISON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"NEW HOPE, CITY OF",10/2/14,,,,,,
,,"NEW HOPE, CITY OF Total",,,,,,,
,,"OWENS CROSS ROADS, TOWN OF",10/2/14,,,,,,
,,"OWENS CROSS ROADS, TOWN OF Total",,,,,,,
,,"TRIANA, TOWN OF",10/2/14,,,,,,
,,"TRIANA, TOWN OF Total",,,,,,,
,MADISON COUNTY Total,,,,,,,,
,MARENGO COUNTY,"DAYTON, TOWN OF",11/2/11,,,,,,
,,"DAYTON, TOWN OF Total",,,,,,,
,,"DEMOPOLIS, CITY OF",11/2/11,,,,,,
,,"DEMOPOLIS, CITY OF Total",,,,,,,
,,"FAUNSDALE, TOWN OF",11/2/11,,,,,,
,,"FAUNSDALE, TOWN OF Total",,,,,,,
,,"LINDEN, CITY OF",11/2/11,,,,,,
,,"LINDEN, CITY OF Total",,,,,,,
,,MARENGO COUNTY ALL JURISDICTIONS,11/2/11,,,,,,
,,MARENGO COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MARENGO COUNTY UNINCORPORATED AREAS,11/2/11,,,,,,
,,MARENGO COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MYRTLEWOOD, TOWN OF",11/2/11,,,,,,
,,"MYRTLEWOOD, TOWN OF Total",,,,,,,
,,"PROVIDENCE, TOWN OF",11/2/11,,,,,,
,,"PROVIDENCE, TOWN OF Total",,,,,,,
,,"SWEETWATER, TOWN OF",11/2/11,,,,,,
,,"SWEETWATER, TOWN OF Total",,,,,,,
,,"THOMASTON, TOWN OF",11/2/11,,,,,,
,,"THOMASTON, TOWN OF Total",,,,,,,
,MARENGO COUNTY Total,,,,,,,,
,MARION COUNTY,"BEAR CREEK, TOWN OF",10/19/10,,,,,,
,,"BEAR CREEK, TOWN OF Total",,,,,,,
,,"BRILLIANT, TOWN OF",10/19/10,,,,,,
,,"BRILLIANT, TOWN OF Total",,,,,,,
,,"GUIN, CITY OF",10/19/10,,,,,,
,,"GUIN, CITY OF Total",,,,,,,
,,"GU-WIN, TOWN OF",10/19/10,,,,,,
,,"GU-WIN, TOWN OF Total",,,,,,,
,,"HAMILTON, CITY OF",10/19/10,,,,,,
,,"HAMILTON, CITY OF Total",,,,,,,
,,MARION COUNTY ALL JURISDICTIONS,10/19/10,,,,,,
,,MARION COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MARION COUNTY UNINCORPORATED AREAS,10/19/10,,,,,,
,,MARION COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"TWIN, TOWN OF",10/19/10,,,,,,
,,"TWIN, TOWN OF Total",,,,,,,
,,"WINFIELD, CITY OF",10/19/10,,,,,,
,,"WINFIELD, CITY OF Total",,,,,,,
,MARION COUNTY Total,,,,,,,,
,MARSHALL COUNTY,"ALBERTVILLE, CITY OF",9/16/11,,,,,,
,,"ALBERTVILLE, CITY OF Total",,,,,,,
,,"ARAB, CITY OF",9/16/11,,,,,,
,,"ARAB, CITY OF Total",,,,,,,
,,"DOUGLAS, TOWN OF",9/16/11,,,,,,
,,"DOUGLAS, TOWN OF Total",,,,,,,
,,"GRANT,TOWN OF",9/16/11,,,,,,
,,"GRANT,TOWN OF Total",,,,,,,
,,"GUNTERSVILLE, CITY OF",9/16/11,,,,,,
,,"GUNTERSVILLE, CITY OF Total",,,,,,,
,,MARSHALL COUNTY ALL JURISDICTIONS,9/16/11,,,,,,
,,MARSHALL COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MARSHALL COUNTY UNINCORPORATED AREAS,9/16/11,,,,,,
,,MARSHALL COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"UNION GROVE, TOWN OF",9/16/11,,,,,,
